commit,acquired_at_utc,acquired_at_local,commit_time,subject,previous_commit,previous_acquired_at_local,source,level,name,mode,previous_reported,reported,total,key,event,changes,candidate
f6961b475040d09ebb7b6629e4706c6537a3ea82,2026-09-06T17:42:10.100413+00:00,2026-09-06T19:42:10.100413+02:00,2026-09-06T17:42:10Z,2026-lsa poll 2026-09-06T17:42:10.100413+00:00,df702e57eb901e2960903aebb776724d314f051a,2026-09-06T19:36:46.918877+02:00,normalized,GEMEINDE,Altmärkische Wische,TOTAL,5,5,5,lsa:GEMEINDE:15090008,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:F12"":{""after"":1,""before"":2,""delta"":-1},""party:F9"":{""after"":4,""before"":3,""delta"":1}}",True
046bb7ecb898f9607e425107eeb8b414bf9d9c53,2026-09-06T18:03:37.130785+00:00,2026-09-06T20:03:37.130785+02:00,2026-09-06T18:03:37Z,2026-lsa poll 2026-09-06T18:03:37.130785+00:00,ab2ae57cf0417154c232754f437ec5bf50727bb4,2026-09-06T19:58:42.912827+02:00,normalized,GEMEINDE,Selke-Aue,TOTAL,3,4,4,lsa:GEMEINDE:15085287,numeric_decrease,"{""party:D1"":{""after"":223,""before"":181,""delta"":42},""party:D15"":{""after"":49,""before"":37,""delta"":12},""party:D2"":{""after"":462,""before"":429,""delta"":33},""party:D21"":{""after"":4,""before"":1,""delta"":3},""party:D3"":{""after"":77,""before"":68,""delta"":9},""party:D4"":{""after"":45,""before"":36,""delta"":9},""party:D5"":{""after"":15,""before"":11,""delta"":4},""party:D6"":{""after"":31,""before"":26,""delta"":5},""party:D7"":{""after"":17,""before"":16,""delta"":1},""party:F1"":{""after"":211,""before"":168,""delta"":43},""party:F10"":{""after"":4,""before"":3,""delta"":1},""party:F12"":{""after"":3,""before"":2,""delta"":1},""party:F15"":{""after"":50,""before"":39,""delta"":11},""party:F2"":{""after"":465,""before"":432,""delta"":33},""party:F20"":{""after"":1,""before"":0,""delta"":1},""party:F3"":{""after"":67,""before"":57,""delta"":10},""party:F4"":{""after"":57,""before"":44,""delta"":13},""party:F5"":{""after"":11,""before"":9,""delta"":2},""party:F6"":{""after"":41,""before"":36,""delta"":5},""party:F7"":{""after"":7,""before"":6,""delta"":1},""party:F9"":{""after"":6,""before"":8,""delta"":-2},""reported_precincts"":{""after"":4,""before"":3,""delta"":1},""valid_votes_erst"":{""after"":923,""before"":805,""delta"":118},""valid_votes_zweit"":{""after"":928,""before"":809,""delta"":119},""voters_total"":{""after"":937,""before"":817,""delta"":120}}",True
25b1063001e3c81db0ed5c28c39329ce1f820b16,2026-09-06T18:45:16.709868+00:00,2026-09-06T20:45:16.709868+02:00,2026-09-06T18:45:18Z,2026-lsa poll 2026-09-06T18:45:16.709868+00:00,591a63a5f78085ff05f6d75f7ae2ed08d028817c,2026-09-06T20:42:35.835399+02:00,normalized,GEMEINDE,"Tangerhütte, Stadt",TOTAL,11,11,21,lsa:GEMEINDE:15090546,numeric_decrease|revision_at_fixed_reporting_count,"{""party:F1"":{""after"":273,""before"":272,""delta"":1},""party:F2"":{""after"":1178,""before"":1179,""delta"":-1}}",True
52c22ef400b46584f7fd242cbd63bde9b2e8365b,2026-09-06T19:05:08.774110+00:00,2026-09-06T21:05:08.774110+02:00,2026-09-06T19:05:10Z,2026-lsa poll 2026-09-06T19:05:08.774110+00:00,6218983864c2bdf79746be3ce096d1fa5a4cbc04,2026-09-06T20:59:11.813756+02:00,normalized,GEMEINDE,"Genthin, Stadt",TOTAL,5,5,14,lsa:GEMEINDE:15086040,numeric_decrease|revision_at_fixed_reporting_count,"{""party:F8"":{""after"":0,""before"":3,""delta"":-3},""party:F9"":{""after"":14,""before"":11,""delta"":3}}",True
52c22ef400b46584f7fd242cbd63bde9b2e8365b,2026-09-06T19:05:08.774110+00:00,2026-09-06T21:05:08.774110+02:00,2026-09-06T19:05:10Z,2026-lsa poll 2026-09-06T19:05:08.774110+00:00,6218983864c2bdf79746be3ce096d1fa5a4cbc04,2026-09-06T20:59:11.813756+02:00,normalized,KREIS,Jerichower Land,TOTAL,57,58,116,lsa:KREIS:15086,numeric_decrease,"{""party:D1"":{""after"":4047,""before"":3938,""delta"":109},""party:D15"":{""after"":476,""before"":449,""delta"":27},""party:D2"":{""after"":9391,""before"":9003,""delta"":388},""party:D21"":{""after"":290,""before"":269,""delta"":21},""party:D3"":{""after"":1567,""before"":1503,""delta"":64},""party:D4"":{""after"":1336,""before"":1274,""delta"":62},""party:D5"":{""after"":619,""before"":598,""delta"":21},""party:D6"":{""after"":515,""before"":506,""delta"":9},""party:D7"":{""after"":371,""before"":336,""delta"":35},""party:F1"":{""after"":3070,""before"":2982,""delta"":88},""party:F10"":{""after"":93,""before"":91,""delta"":2},""party:F11"":{""after"":41,""before"":39,""delta"":2},""party:F12"":{""after"":88,""before"":84,""delta"":4},""party:F15"":{""after"":923,""before"":890,""delta"":33},""party:F19"":{""after"":30,""before"":28,""delta"":2},""party:F2"":{""after"":9391,""before"":8993,""delta"":398},""party:F20"":{""after"":70,""before"":65,""delta"":5},""party:F3"":{""after"":1320,""before"":1264,""delta"":56},""party:F4"":{""after"":1475,""before"":1417,""delta"":58},""party:F5"":{""after"":465,""before"":449,""delta"":16},""party:F6"":{""after"":1103,""before"":1062,""delta"":41},""party:F7"":{""after"":361,""before"":344,""delta"":17},""party:F8"":{""after"":12,""before"":15,""delta"":-3},""party:F9"":{""after"":227,""before"":210,""delta"":17},""reported_precincts"":{""after"":58,""before"":57,""delta"":1},""valid_votes_erst"":{""after"":18612,""before"":17876,""delta"":736},""valid_votes_zweit"":{""after"":18669,""before"":17933,""delta"":736},""voters_total"":{""after"":18891,""before"":18151,""delta"":740}}",True
71f6ed3c34a57aa14ffc43e8bbd33b599599307b,2026-09-06T19:10:26.361861+00:00,2026-09-06T21:10:26.361861+02:00,2026-09-06T19:10:27Z,2026-lsa poll 2026-09-06T19:10:26.361861+00:00,52c22ef400b46584f7fd242cbd63bde9b2e8365b,2026-09-06T21:05:08.774110+02:00,normalized,GEMEINDE,"Oberharz am Brocken, Stadt",TOTAL,12,12,12,lsa:GEMEINDE:15085228,revision_at_fixed_reporting_count|revision_after_complete,"{""party:D1"":{""after"":1419,""before"":1418,""delta"":1},""party:D3"":{""after"":373,""before"":372,""delta"":1},""party:D6"":{""after"":115,""before"":114,""delta"":1},""valid_votes_erst"":{""after"":6305,""before"":6302,""delta"":3}}",True
71f6ed3c34a57aa14ffc43e8bbd33b599599307b,2026-09-06T19:10:26.361861+00:00,2026-09-06T21:10:26.361861+02:00,2026-09-06T19:10:27Z,2026-lsa poll 2026-09-06T19:10:26.361861+00:00,52c22ef400b46584f7fd242cbd63bde9b2e8365b,2026-09-06T21:05:08.774110+02:00,normalized,WAHLKREIS,Wernigerode,TOTAL,41,41,51,lsa:WAHLKREIS:016,revision_at_fixed_reporting_count,"{""party:D1"":{""after"":4672,""before"":4671,""delta"":1},""party:D3"":{""after"":1719,""before"":1718,""delta"":1},""party:D6"":{""after"":538,""before"":537,""delta"":1},""valid_votes_erst"":{""after"":23131,""before"":23128,""delta"":3}}",True
ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,2026-09-06T20:11:13.043213+00:00,2026-09-06T22:11:13.043213+02:00,2026-09-06T20:11:14Z,2026-lsa poll 2026-09-06T20:11:13.043213+00:00,e91d1f5dd74691f625b5fb7cfd67fa79e34311d1,2026-09-06T22:06:23.019099+02:00,normalized,GEMEINDE,"Allstedt, Stadt",TOTAL,15,15,15,lsa:GEMEINDE:15087015,revision_at_fixed_reporting_count|revision_after_complete,"{""party:D2"":{""after"":2602,""before"":2601,""delta"":1},""party:F2"":{""after"":2479,""before"":2478,""delta"":1},""valid_votes_erst"":{""after"":4842,""before"":4841,""delta"":1},""valid_votes_zweit"":{""after"":4858,""before"":4857,""delta"":1},""voters_total"":{""after"":4911,""before"":4910,""delta"":1}}",True
ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,2026-09-06T20:11:13.043213+00:00,2026-09-06T22:11:13.043213+02:00,2026-09-06T20:11:14Z,2026-lsa poll 2026-09-06T20:11:13.043213+00:00,e91d1f5dd74691f625b5fb7cfd67fa79e34311d1,2026-09-06T22:06:23.019099+02:00,normalized,GEMEINDE,"Bad Dürrenberg, Stadt",TOTAL,10,10,10,lsa:GEMEINDE:15088020,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""voters_total"":{""after"":6534,""before"":6576,""delta"":-42}}",True
ba1fc517c286fae14ef9d1ae8b573aab69dc9d84,2026-09-06T20:11:13.043213+00:00,2026-09-06T22:11:13.043213+02:00,2026-09-06T20:11:14Z,2026-lsa poll 2026-09-06T20:11:13.043213+00:00,e91d1f5dd74691f625b5fb7cfd67fa79e34311d1,2026-09-06T22:06:23.019099+02:00,normalized,GEMEINDE,"Aschersleben, Stadt",TOTAL,23,23,26,lsa:GEMEINDE:15089015,revision_at_fixed_reporting_count,"{""voters_total"":{""after"":11284,""before"":11283,""delta"":1}}",True
