commit,acquired_at_utc,acquired_at_local,commit_time,subject,relation,parent,name,field,child_count,missing_children,children_sum,parent_value,delta
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F6,218,0,117498,117376,122
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F7,218,0,15430,15406,24
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F8,218,0,1899,1896,3
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F9,218,0,14356,14338,18
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,reported_precincts,21,0,194,193,1
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,voters_total,21,0,112715,111198,1517
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,valid_votes_erst,21,0,111331,109822,1509
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,valid_votes_zweit,21,0,111548,110035,1513
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D1,21,0,25303,24888,415
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D15,21,8,4909,4666,243
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D19,21,19,221,197,24
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D2,21,0,56047,55701,346
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D3,21,0,10239,10092,147
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D4,21,0,7569,7351,218
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D5,21,0,4603,4557,46
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D6,21,0,2440,2370,70
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F1,21,0,18975,18574,401
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F10,21,0,578,571,7
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F11,21,0,216,214,2
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F12,21,0,693,682,11
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F15,21,0,6278,6130,148
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F19,21,0,215,208,7
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F2,21,0,55458,55085,373
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F20,21,0,382,377,5
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F3,21,0,8741,8595,146
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F4,21,0,8413,8202,211
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F5,21,0,3096,3061,35
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F6,21,0,6015,5893,122
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F7,21,0,906,882,24
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F8,21,0,151,148,3
14bbd628facaffd1aa484eae168078c61c198f89,2026-09-07T01:06:04.445789+00:00,2026-09-07T03:06:04.445789+02:00,2026-09-07T03:07:11+02:00,Refresh LSA results to 2660 CSV districts,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F9,21,0,1431,1413,18
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,reported_precincts,218,0,2661,2660,1
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,voters_total,218,0,1328211,1326694,1517
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,valid_votes_erst,218,0,1312734,1311225,1509
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,valid_votes_zweit,218,0,1315315,1313802,1513
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D1,218,0,314535,314120,415
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D15,218,85,41782,41539,243
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D19,218,173,2680,2656,24
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D2,218,0,581945,581599,346
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D3,218,0,157905,157758,147
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D4,218,0,102881,102663,218
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D5,218,0,41113,41067,46
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:D6,218,0,45310,45240,70
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F1,218,0,226622,226221,401
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F10,218,0,7482,7475,7
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F11,218,0,3487,3485,2
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F12,218,0,7283,7272,11
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F15,218,0,69291,69143,148
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F19,218,0,2778,2771,7
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F2,218,0,576037,575664,373
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F20,218,0,4339,4334,5
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F3,218,0,112541,112395,146
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F4,218,0,122303,122092,211
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F5,218,0,33969,33934,35
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F6,218,0,117498,117376,122
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F7,218,0,15430,15406,24
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F8,218,0,1899,1896,3
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->LAND,lsa:LAND:15,Sachsen-Anhalt,party:F9,218,0,14356,14338,18
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,reported_precincts,21,0,194,193,1
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,voters_total,21,0,112715,111198,1517
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,valid_votes_erst,21,0,111331,109822,1509
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,valid_votes_zweit,21,0,111548,110035,1513
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D1,21,0,25303,24888,415
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D15,21,8,4909,4666,243
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D19,21,19,221,197,24
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D2,21,0,56047,55701,346
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D3,21,0,10239,10092,147
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D4,21,0,7569,7351,218
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D5,21,0,4603,4557,46
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:D6,21,0,2440,2370,70
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F1,21,0,18975,18574,401
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F10,21,0,578,571,7
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F11,21,0,216,214,2
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F12,21,0,693,682,11
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F15,21,0,6278,6130,148
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F19,21,0,215,208,7
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F2,21,0,55458,55085,373
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F20,21,0,382,377,5
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F3,21,0,8741,8595,146
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F4,21,0,8413,8202,211
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F5,21,0,3096,3061,35
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F6,21,0,6015,5893,122
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F7,21,0,906,882,24
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F8,21,0,151,148,3
23377a96d918a4b77f71dbabbf9c385f78334126,2026-09-07T01:10:10.827443+00:00,2026-09-07T03:10:10.827443+02:00,2026-09-07T01:10:12Z,2026-lsa poll 2026-09-07T01:10:10.827443+00:00,GEMEINDE->KREIS,lsa:KREIS:15089,Salzlandkreis,party:F9,21,0,1431,1413,18
