commit,acquired_at_utc,acquired_at_local,commit_time,subject,previous_commit,previous_acquired_at_local,source,level,name,mode,previous_reported,reported,total,key,event,changes,candidate
54022b534f45331a7c3b6d920ff9a1ddd2a52510,2026-09-06T17:35:33.866455+00:00,2026-09-06T19:35:33.866455+02:00,2026-09-06T17:35:35Z,2026-lsa poll 2026-09-06T17:35:33.866455+00:00,8c4de5b49de52c788d9015b10b6fd8367c8b3657,2026-09-06T19:31:10.624086+02:00,official_csv,GEMEINDE,"Bitterfeld-Wolfen, Stadt",B,1,1,6,lsa:GEMEINDE:15082015:B,numeric_decrease|revision_at_fixed_reporting_count,"{""invalid_votes_erst"":{""after"":5,""before"":3,""delta"":2},""invalid_votes_zweit"":{""after"":3,""before"":4,""delta"":-1},""party:D1"":{""after"":372,""before"":45,""delta"":327},""party:D2"":{""after"":347,""before"":113,""delta"":234},""party:D3"":{""after"":103,""before"":11,""delta"":92},""party:D4"":{""after"":111,""before"":12,""delta"":99},""party:D5"":{""after"":35,""before"":4,""delta"":31},""party:D6"":{""after"":52,""before"":3,""delta"":49},""party:D7"":{""after"":55,""before"":14,""delta"":41},""party:F1"":{""after"":322,""before"":39,""delta"":283},""party:F10"":{""after"":4,""before"":1,""delta"":3},""party:F11"":{""after"":2,""before"":1,""delta"":1},""party:F12"":{""after"":7,""before"":1,""delta"":6},""party:F15"":{""after"":49,""before"":5,""delta"":44},""party:F19"":{""after"":2,""before"":0,""delta"":2},""party:F2"":{""after"":327,""before"":111,""delta"":216},""party:F20"":{""after"":5,""before"":0,""delta"":5},""party:F3"":{""after"":77,""before"":9,""delta"":68},""party:F4"":{""after"":118,""before"":18,""delta"":100},""party:F5"":{""after"":24,""before"":8,""delta"":16},""party:F6"":{""after"":99,""before"":4,""delta"":95},""party:F7"":{""after"":20,""before"":4,""delta"":16},""party:F8"":{""after"":1,""before"":0,""delta"":1},""party:F9"":{""after"":20,""before"":0,""delta"":20},""valid_votes_erst"":{""after"":1075,""before"":202,""delta"":873},""valid_votes_zweit"":{""after"":1077,""before"":201,""delta"":876},""voters_total"":{""after"":1080,""before"":205,""delta"":875}}",True
54022b534f45331a7c3b6d920ff9a1ddd2a52510,2026-09-06T17:35:33.866455+00:00,2026-09-06T19:35:33.866455+02:00,2026-09-06T17:35:35Z,2026-lsa poll 2026-09-06T17:35:33.866455+00:00,8c4de5b49de52c788d9015b10b6fd8367c8b3657,2026-09-06T19:31:10.624086+02:00,official_csv,KREIS,Anhalt-Bitterfeld,B,1,1,22,lsa:KREIS:15082:B,numeric_decrease|revision_at_fixed_reporting_count,"{""invalid_votes_erst"":{""after"":5,""before"":3,""delta"":2},""invalid_votes_zweit"":{""after"":3,""before"":4,""delta"":-1},""party:D1"":{""after"":372,""before"":45,""delta"":327},""party:D2"":{""after"":347,""before"":113,""delta"":234},""party:D3"":{""after"":103,""before"":11,""delta"":92},""party:D4"":{""after"":111,""before"":12,""delta"":99},""party:D5"":{""after"":35,""before"":4,""delta"":31},""party:D6"":{""after"":52,""before"":3,""delta"":49},""party:D7"":{""after"":55,""before"":14,""delta"":41},""party:F1"":{""after"":322,""before"":39,""delta"":283},""party:F10"":{""after"":4,""before"":1,""delta"":3},""party:F11"":{""after"":2,""before"":1,""delta"":1},""party:F12"":{""after"":7,""before"":1,""delta"":6},""party:F15"":{""after"":49,""before"":5,""delta"":44},""party:F19"":{""after"":2,""before"":0,""delta"":2},""party:F2"":{""after"":327,""before"":111,""delta"":216},""party:F20"":{""after"":5,""before"":0,""delta"":5},""party:F3"":{""after"":77,""before"":9,""delta"":68},""party:F4"":{""after"":118,""before"":18,""delta"":100},""party:F5"":{""after"":24,""before"":8,""delta"":16},""party:F6"":{""after"":99,""before"":4,""delta"":95},""party:F7"":{""after"":20,""before"":4,""delta"":16},""party:F8"":{""after"":1,""before"":0,""delta"":1},""party:F9"":{""after"":20,""before"":0,""delta"":20},""valid_votes_erst"":{""after"":1075,""before"":202,""delta"":873},""valid_votes_zweit"":{""after"":1077,""before"":201,""delta"":876},""voters_total"":{""after"":1080,""before"":205,""delta"":875}}",True
54022b534f45331a7c3b6d920ff9a1ddd2a52510,2026-09-06T17:35:33.866455+00:00,2026-09-06T19:35:33.866455+02:00,2026-09-06T17:35:35Z,2026-lsa poll 2026-09-06T17:35:33.866455+00:00,8c4de5b49de52c788d9015b10b6fd8367c8b3657,2026-09-06T19:31:10.624086+02:00,official_csv,WAHLKREIS,Bitterfeld-Wolfen,B,1,1,10,lsa:WAHLKREIS:028:B,numeric_decrease|revision_at_fixed_reporting_count,"{""invalid_votes_erst"":{""after"":5,""before"":3,""delta"":2},""invalid_votes_zweit"":{""after"":3,""before"":4,""delta"":-1},""party:D1"":{""after"":372,""before"":45,""delta"":327},""party:D2"":{""after"":347,""before"":113,""delta"":234},""party:D3"":{""after"":103,""before"":11,""delta"":92},""party:D4"":{""after"":111,""before"":12,""delta"":99},""party:D5"":{""after"":35,""before"":4,""delta"":31},""party:D6"":{""after"":52,""before"":3,""delta"":49},""party:D7"":{""after"":55,""before"":14,""delta"":41},""party:F1"":{""after"":322,""before"":39,""delta"":283},""party:F10"":{""after"":4,""before"":1,""delta"":3},""party:F11"":{""after"":2,""before"":1,""delta"":1},""party:F12"":{""after"":7,""before"":1,""delta"":6},""party:F15"":{""after"":49,""before"":5,""delta"":44},""party:F19"":{""after"":2,""before"":0,""delta"":2},""party:F2"":{""after"":327,""before"":111,""delta"":216},""party:F20"":{""after"":5,""before"":0,""delta"":5},""party:F3"":{""after"":77,""before"":9,""delta"":68},""party:F4"":{""after"":118,""before"":18,""delta"":100},""party:F5"":{""after"":24,""before"":8,""delta"":16},""party:F6"":{""after"":99,""before"":4,""delta"":95},""party:F7"":{""after"":20,""before"":4,""delta"":16},""party:F8"":{""after"":1,""before"":0,""delta"":1},""party:F9"":{""after"":20,""before"":0,""delta"":20},""valid_votes_erst"":{""after"":1075,""before"":202,""delta"":873},""valid_votes_zweit"":{""after"":1077,""before"":201,""delta"":876},""voters_total"":{""after"":1080,""before"":205,""delta"":875}}",True
f6961b475040d09ebb7b6629e4706c6537a3ea82,2026-09-06T17:42:10.100413+00:00,2026-09-06T19:42:10.100413+02:00,2026-09-06T17:42:10Z,2026-lsa poll 2026-09-06T17:42:10.100413+00:00,df702e57eb901e2960903aebb776724d314f051a,2026-09-06T19:36:46.918877+02:00,official_csv,GEMEINDE,Altmärkische Wische,TOTAL,5,5,5,lsa:GEMEINDE:15090008:TOTAL,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:F12"":{""after"":1,""before"":2,""delta"":-1},""party:F9"":{""after"":4,""before"":3,""delta"":1}}",True
f6961b475040d09ebb7b6629e4706c6537a3ea82,2026-09-06T17:42:10.100413+00:00,2026-09-06T19:42:10.100413+02:00,2026-09-06T17:42:10Z,2026-lsa poll 2026-09-06T17:42:10.100413+00:00,df702e57eb901e2960903aebb776724d314f051a,2026-09-06T19:36:46.918877+02:00,official_csv,GEMEINDE,Altmärkische Wische,U,4,4,4,lsa:GEMEINDE:15090008:U,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""party:F12"":{""after"":0,""before"":1,""delta"":-1},""party:F9"":{""after"":3,""before"":2,""delta"":1}}",True
046bb7ecb898f9607e425107eeb8b414bf9d9c53,2026-09-06T18:03:37.130785+00:00,2026-09-06T20:03:37.130785+02:00,2026-09-06T18:03:37Z,2026-lsa poll 2026-09-06T18:03:37.130785+00:00,ab2ae57cf0417154c232754f437ec5bf50727bb4,2026-09-06T19:58:42.912827+02:00,official_csv,GEMEINDE,Selke-Aue,TOTAL,3,4,4,lsa:GEMEINDE:15085287:TOTAL,numeric_decrease,"{""invalid_votes_erst"":{""after"":14,""before"":12,""delta"":2},""invalid_votes_zweit"":{""after"":9,""before"":8,""delta"":1},""party:D1"":{""after"":223,""before"":181,""delta"":42},""party:D15"":{""after"":49,""before"":37,""delta"":12},""party:D2"":{""after"":462,""before"":429,""delta"":33},""party:D21"":{""after"":4,""before"":1,""delta"":3},""party:D3"":{""after"":77,""before"":68,""delta"":9},""party:D4"":{""after"":45,""before"":36,""delta"":9},""party:D5"":{""after"":15,""before"":11,""delta"":4},""party:D6"":{""after"":31,""before"":26,""delta"":5},""party:D7"":{""after"":17,""before"":16,""delta"":1},""party:F1"":{""after"":211,""before"":168,""delta"":43},""party:F10"":{""after"":4,""before"":3,""delta"":1},""party:F12"":{""after"":3,""before"":2,""delta"":1},""party:F15"":{""after"":50,""before"":39,""delta"":11},""party:F2"":{""after"":465,""before"":432,""delta"":33},""party:F20"":{""after"":1,""before"":0,""delta"":1},""party:F3"":{""after"":67,""before"":57,""delta"":10},""party:F4"":{""after"":57,""before"":44,""delta"":13},""party:F5"":{""after"":11,""before"":9,""delta"":2},""party:F6"":{""after"":41,""before"":36,""delta"":5},""party:F7"":{""after"":7,""before"":6,""delta"":1},""party:F9"":{""after"":6,""before"":8,""delta"":-2},""reported_precincts"":{""after"":4,""before"":3,""delta"":1},""valid_votes_erst"":{""after"":923,""before"":805,""delta"":118},""valid_votes_zweit"":{""after"":928,""before"":809,""delta"":119},""voters_total"":{""after"":937,""before"":817,""delta"":120}}",True
046bb7ecb898f9607e425107eeb8b414bf9d9c53,2026-09-06T18:03:37.130785+00:00,2026-09-06T20:03:37.130785+02:00,2026-09-06T18:03:37Z,2026-lsa poll 2026-09-06T18:03:37.130785+00:00,ab2ae57cf0417154c232754f437ec5bf50727bb4,2026-09-06T19:58:42.912827+02:00,official_csv,GEMEINDE,Selke-Aue,U,3,3,3,lsa:GEMEINDE:15085287:U,numeric_decrease|revision_at_fixed_reporting_count|revision_after_complete,"{""invalid_votes_erst"":{""after"":13,""before"":12,""delta"":1},""invalid_votes_zweit"":{""after"":9,""before"":8,""delta"":1},""party:D1"":{""after"":180,""before"":181,""delta"":-1},""party:D2"":{""after"":430,""before"":429,""delta"":1},""party:D21"":{""after"":2,""before"":1,""delta"":1},""party:D3"":{""after"":63,""before"":68,""delta"":-5},""party:D5"":{""after"":13,""before"":11,""delta"":2},""party:D6"":{""after"":27,""before"":26,""delta"":1},""party:F12"":{""after"":3,""before"":2,""delta"":1},""party:F2"":{""after"":431,""before"":432,""delta"":-1},""party:F3"":{""after"":58,""before"":57,""delta"":1},""party:F9"":{""after"":6,""before"":8,""delta"":-2},""valid_votes_erst"":{""after"":804,""before"":805,""delta"":-1},""valid_votes_zweit"":{""after"":808,""before"":809,""delta"":-1}}",True
74f14d2e1393a764f01c4873a012da6dcb8e961e,2026-09-06T18:24:59.723319+00:00,2026-09-06T20:24:59.723319+02:00,2026-09-06T18:25:01Z,2026-lsa poll 2026-09-06T18:24:59.723319+00:00,59701043150076e20b0ab78ddeb37592c6f63c23,2026-09-06T20:20:40.430643+02:00,official_csv,GEMEINDE,"Kemberg, Stadt",U,14,15,15,lsa:GEMEINDE:15091160:U,numeric_decrease,"{""eligible_voters"":{""after"":7841,""before"":7332,""delta"":509},""invalid_votes_erst"":{""after"":65,""before"":62,""delta"":3},""invalid_votes_zweit"":{""after"":58,""before"":59,""delta"":-1},""party:D1"":{""after"":1168,""before"":1060,""delta"":108},""party:D2"":{""after"":2564,""before"":2421,""delta"":143},""party:D3"":{""after"":421,""before"":388,""delta"":33},""party:D4"":{""after"":286,""before"":264,""delta"":22},""party:D5"":{""after"":88,""before"":84,""delta"":4},""party:D6"":{""after"":85,""before"":79,""delta"":6},""party:D7"":{""after"":256,""before"":237,""delta"":19},""party:F1"":{""after"":961,""before"":873,""delta"":88},""party:F10"":{""after"":15,""before"":14,""delta"":1},""party:F12"":{""after"":22,""before"":20,""delta"":2},""party:F15"":{""after"":204,""before"":195,""delta"":9},""party:F19"":{""after"":8,""before"":7,""delta"":1},""party:F2"":{""after"":2517,""before"":2377,""delta"":140},""party:F3"":{""after"":317,""before"":295,""delta"":22},""party:F4"":{""after"":333,""before"":303,""delta"":30},""party:F5"":{""after"":88,""before"":84,""delta"":4},""party:F6"":{""after"":241,""before"":220,""delta"":21},""party:F7"":{""after"":94,""before"":81,""delta"":13},""party:F8"":{""after"":11,""before"":8,""delta"":3},""party:F9"":{""after"":48,""before"":43,""delta"":5},""reported_precincts"":{""after"":15,""before"":14,""delta"":1},""valid_votes_erst"":{""after"":4868,""before"":4533,""delta"":335},""valid_votes_zweit"":{""after"":4875,""before"":4536,""delta"":339},""voters_total"":{""after"":4933,""before"":4595,""delta"":338}}",True
25b1063001e3c81db0ed5c28c39329ce1f820b16,2026-09-06T18:45:16.709868+00:00,2026-09-06T20:45:16.709868+02:00,2026-09-06T18:45:18Z,2026-lsa poll 2026-09-06T18:45:16.709868+00:00,591a63a5f78085ff05f6d75f7ae2ed08d028817c,2026-09-06T20:42:35.835399+02:00,official_csv,GEMEINDE,"Tangerhütte, Stadt",TOTAL,11,11,21,lsa:GEMEINDE:15090546:TOTAL,numeric_decrease|revision_at_fixed_reporting_count,"{""party:F1"":{""after"":273,""before"":272,""delta"":1},""party:F2"":{""after"":1178,""before"":1179,""delta"":-1}}",True
25b1063001e3c81db0ed5c28c39329ce1f820b16,2026-09-06T18:45:16.709868+00:00,2026-09-06T20:45:16.709868+02:00,2026-09-06T18:45:18Z,2026-lsa poll 2026-09-06T18:45:16.709868+00:00,591a63a5f78085ff05f6d75f7ae2ed08d028817c,2026-09-06T20:42:35.835399+02:00,official_csv,GEMEINDE,"Tangerhütte, Stadt",U,11,11,19,lsa:GEMEINDE:15090546:U,numeric_decrease|revision_at_fixed_reporting_count,"{""party:F1"":{""after"":273,""before"":272,""delta"":1},""party:F2"":{""after"":1178,""before"":1179,""delta"":-1}}",True
