Wahlkreisnummer,Wahlkreisname,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen
258,Stuttgart_I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
259,Stuttgart_II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
260,Böblingen,243100,,,,204959,,1381,203578,76031,34197,27409,12438,34826,9936,,6045,,,1826,,,280,,,590,,,,,942,204017,67755,29381,28451,14312,35769,12167,456,2980,1372,778,1323,329,422,109,221,8192,,,,,
261,Esslingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
262,Nürtingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
263,Göppingen,174712,,,,143878,,1197,142681,52945,24232,13239,5839,32263,6812,1653,4449,,,1072,,,177,,,,,,,,839,143039,47870,20544,13447,7925,33279,7797,729,2137,1228,604,674,257,168,68,175,6137,,,,,
264,Waiblingen,219692,,,,184963,,1227,183736,69223,31594,22702,10519,33167,9725,2092,4714,,,,,,,,,,,,,,868,184095,61351,26984,23496,12485,34225,10731,893,2350,1686,705,1161,329,373,79,215,7032,,,,,
265,Ludwigsburg,212479,,,,179564,,1138,178426,65151,27089,28624,9136,30109,11130,1458,3164,,,1765,800,,,,,,,,,,773,178791,57281,27023,26602,11448,30184,12277,645,2114,1310,704,1312,359,228,60,169,7075,,,,,
266,Neckar-Zaber,228597,,,,195892,,1272,194620,76390,29182,22573,7695,37965,9924,2043,5081,,,2775,992,,,,,,,,,,879,195013,64629,28171,23637,12296,39633,10386,1003,2854,1636,806,1471,459,329,82,193,7428,,,,,
267,Heilbronn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
268,Schwäbisch_Hall-Hohenlohe,224446,,,,186104,,1415,184689,67217,27498,18528,8307,44361,8902,2067,4614,,1718,1477,,,,,,,,,,,1092,185012,58817,24445,18083,10582,46423,9845,1115,2862,1524,896,1105,460,529,69,266,7991,,,,,
269,Backnang-Schwäbisch_Gmünd,175503,,,,146412,,1272,145140,53070,23853,15498,5844,33945,7486,,3174,,2040,,,,230,,,,,,,,727,145685,47465,20169,15531,7846,33898,8422,566,1732,1243,809,795,287,348,62,222,6290,,,,,
270,Aalen-Heidenheim,217828,,,,180562,,1738,178824,74007,25137,14872,6425,41336,8987,,4984,,,1878,,,,1198,,,,,,,1009,179553,62269,25288,16827,8745,41365,9696,581,2930,1362,701,918,334,219,68,339,7911,,,,,
271,Karlsruhe-Stadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
272,Karlsruhe-Land,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
273,Rastatt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,Heidelberg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
275,Mannheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,Odenwald-Tauber,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
277,Rhein-Neckar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,Bruchsal-Schwetzingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
279,Pforzheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
280,Calw,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
281,Freiburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
282,Lörrach-Müllheim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
283,Emmendingen-Lahr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
284,Offenburg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
285,Rottweil-Tuttlingen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
