AGS,Gemeindename,Wahlberechtigte,Wahlberechtigte_ohne_Wahlschein,Wahlberechtigte_mit_Wahlschein,Wahlberechtigte_nach_§25_Abs.2_BWO,Wähler(innen),Wähler(innen)_mit_Wahlschein,Ungültige_Erststimmen,Gültige_Erststimmen,CDU_Erststimmen,SPD_Erststimmen,GRÜNE_Erststimmen,FDP_Erststimmen,AfD_Erststimmen,Die_Linke_Erststimmen,dieBasis_Erststimmen,FREIE_WÄHLER_Erststimmen,Tierschutzpartei_Erststimmen,Die_PARTEI_Erststimmen,Volt_Erststimmen,ÖDP_Erststimmen,Bündnis_C_Erststimmen,MLPD_Erststimmen,BÜNDNIS_DEUTSCHLAND_Erststimmen,BSW_Erststimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Erststimmen,Initiative_Gegenwind_Erststimmen,Parteilos_Erststimmen,Volkmar_Raidt_Erststimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Erststimmen,Ungültige_Zweitstimmen,Gültige_Zweitstimmen,CDU_Zweitstimmen,SPD_Zweitstimmen,GRÜNE_Zweitstimmen,FDP_Zweitstimmen,AfD_Zweitstimmen,Die_Linke_Zweitstimmen,dieBasis_Zweitstimmen,FREIE_WÄHLER_Zweitstimmen,Tierschutzpartei_Zweitstimmen,Die_PARTEI_Zweitstimmen,Volt_Zweitstimmen,ÖDP_Zweitstimmen,Bündnis_C_Zweitstimmen,MLPD_Zweitstimmen,BÜNDNIS_DEUTSCHLAND_Zweitstimmen,BSW_Zweitstimmen,FRiDi_-_unabhängig_-_unbestechlich_-_ehrlich_-_bürgernah_Zweitstimmen,Initiative_Gegenwind_Zweitstimmen,Parteilos_Zweitstimmen,Volkmar_Raidt_Zweitstimmen,WIR_SIND_ZUSAMMEN_STARK_(WSZ)_Zweitstimmen
08111000,Stuttgart-_Landeshauptstadt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08115001,Aidlingen,6603,,,,5697,,38,5659,2261,849,708,343,1055,225,,165,,,40,,,5,,,8,,,,,31,5666,2000,781,744,407,1104,260,6,72,23,12,38,7,19,1,0,192,,,,,
08115002,Altdorf,3389,,,,3030,,20,3010,1224,430,435,200,477,104,,92,,,30,,,0,,,18,,,,,17,3013,1111,391,450,210,491,127,7,39,20,8,18,7,23,0,1,110,,,,,
08115003,Böblingen-_Stadt,31516,,,,25267,,178,25089,8478,4667,2930,1707,4787,1452,,677,,,243,,,74,,,74,,,,,126,25141,7466,3857,3240,1787,4814,1756,52,296,166,99,178,35,53,23,34,1285,,,,,
08115004,Bondorf,4364,,,,3716,,19,3697,1425,547,468,188,669,205,,156,,,28,,,2,,,9,,,,,21,3695,1257,465,465,237,700,248,12,70,31,18,23,10,6,0,5,148,,,,,
08115010,Deckenpfronn,2492,,,,2214,,16,2198,932,295,266,105,419,78,,69,,,27,,,2,,,5,,,,,8,2206,831,245,256,139,431,117,6,41,17,5,18,4,6,0,3,87,,,,,
08115013,Ehningen,6175,,,,5443,,43,5400,2194,899,775,310,791,229,,151,,,44,,,1,,,6,,,,,35,5408,1914,786,842,384,819,270,17,88,34,14,36,9,9,0,4,182,,,,,
08115015,Gärtringen,8694,,,,7483,,59,7424,3093,1145,981,400,1106,361,,246,,,64,,,9,,,19,,,,,40,7443,2721,980,1045,475,1164,449,19,131,74,28,34,6,26,3,9,279,,,,,
08115016,Gäufelden,6473,,,,5574,,41,5533,2159,833,636,312,1080,255,,188,,,54,,,5,,,11,,,,,21,5553,1925,700,670,378,1136,299,10,109,47,26,35,5,15,5,5,188,,,,,
08115021,Herrenberg-_Stadt,22928,,,,19612,,129,19483,7108,3283,3309,1089,2934,946,,552,,,202,,,20,,,40,,,,,80,19532,6404,2862,3384,1300,3012,1227,41,267,93,74,143,37,40,7,27,614,,,,,
08115022,Hildrizhausen,2564,,,,2250,,13,2237,997,304,238,120,372,87,,90,,,22,,,2,,,5,,,,,8,2242,906,290,238,144,379,101,3,35,13,11,18,5,5,0,1,93,,,,,
